"bairro","preco","area","suites","dormitorios","banheiros","vagas"
"vila-nova-conceicao","2700000.0","205.0","1.0","3.0","2.0","2.0"
"vila-nova-conceicao","650000.0","42.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","2250000.0","161.0","3.0","3.0","4.0","2.0"
"vila-nova-conceicao","2200000.0","168.0","2.0","4.0","4.0","2.0"
"vila-nova-conceicao","1400000.0","128.0","1.0","2.0","1.0","1.0"
"vila-nova-conceicao","1383000.0","105.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1705000.0","78.0","1.0","1.0","1.0","2.0"
"vila-nova-conceicao","595000.0","37.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","7000000.0","285.0","3.0","3.0","4.0","5.0"
"vila-nova-conceicao","4580000.0","192.0","3.0","3.0","1.0","4.0"
"vila-nova-conceicao","2130000.0","156.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","3800000.0","233.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","3700000.0","207.0","2.0","2.0","4.0","3.0"
"vila-nova-conceicao","3700000.0","233.0","2.0","2.0","5.0","4.0"
"vila-nova-conceicao","5100000.0","281.0","3.0","3.0","5.0","4.0"
"vila-nova-conceicao","4260000.0","222.0","3.0","3.0","5.0","4.0"
"vila-nova-conceicao","2250000.0","161.0","3.0","3.0","4.0","2.0"
"vila-nova-conceicao","7000000.0","293.0","3.0","3.0","4.0","5.0"
"vila-nova-conceicao","4250000.0","207.0","3.0","3.0","3.0","3.0"
"vila-nova-conceicao","2200000.0","112.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","7500000.0","293.0","4.0","4.0","5.0","5.0"
"vila-nova-conceicao","4800000.0","231.0","4.0","4.0","4.0","4.0"
"vila-nova-conceicao","4400000.0","298.0","1.0","3.0","2.0","3.0"
"vila-nova-conceicao","2550000.0","150.0","1.0","2.0","2.0","4.0"
"vila-nova-conceicao","1700000.0","170.0","1.0","1.0","3.0","3.0"
"vila-nova-conceicao","4300000.0","232.0","3.0","3.0","5.0","5.0"
"vila-nova-conceicao","1400000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","850000.0","48.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","4560000.0","192.0","4.0","4.0","6.0","4.0"
"vila-nova-conceicao","3200000.0","210.0","3.0","4.0","5.0","3.0"
"vila-nova-conceicao","4400000.0","230.0","3.0","3.0","3.0","4.0"
"vila-nova-conceicao","3700000.0","237.0","2.0","2.0","4.0","4.0"
"vila-nova-conceicao","665000.0","43.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","1800000.0","159.0","3.0","3.0","3.0","3.0"
"vila-nova-conceicao","3500000.0","212.0","3.0","3.0","4.0","4.0"
"vila-nova-conceicao","1400000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","455000.0","78.0","1.0","2.0","1.0","1.0"
"vila-nova-conceicao","4700000.0","231.0","2.0","4.0","5.0","3.0"
"vila-nova-conceicao","980000.0","85.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","2300000.0","163.0","2.0","2.0","2.0","3.0"
"vila-nova-conceicao","2900000.0","209.0","3.0","3.0","1.0","3.0"
"vila-nova-conceicao","3565000.0","193.0","3.0","3.0","3.0","3.0"
"vila-nova-conceicao","1400000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","595000.0","37.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","4300000.0","226.0","3.0","3.0","3.0","4.0"
"vila-nova-conceicao","4000000.0","150.0","1.0","1.0","3.0","4.0"
"vila-nova-conceicao","3230000.0","240.0","3.0","3.0","4.0","4.0"
"vila-nova-conceicao","700000.0","43.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","3500000.0","227.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","1300000.0","96.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","980000.0","85.0","1.0","2.0","3.0","1.0"
"vila-nova-conceicao","665000.0","43.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","2000000.0","153.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1385000.0","104.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","1280000.0","108.0","1.0","1.0","2.0","1.0"
"vila-nova-conceicao","1800000.0","178.0","4.0","4.0","6.0","3.0"
"vila-nova-conceicao","3400000.0","182.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","1280000.0","108.0","1.0","1.0","2.0","1.0"
"vila-nova-conceicao","2700000.0","182.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","3995000.0","226.0","4.0","4.0","6.0","4.0"
"vila-nova-conceicao","1000000.0","50.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","3700000.0","265.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","2660000.0","145.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","2770000.0","134.0","2.0","2.0","3.0","2.0"
"vila-nova-conceicao","2200000.0","170.0","3.0","3.0","5.0","2.0"
"vila-nova-conceicao","2700000.0","206.0","3.0","3.0","6.0","4.0"
"vila-nova-conceicao","2600000.0","202.0","1.0","3.0","2.0","2.0"
"vila-nova-conceicao","3700000.0","207.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","7850000.0","287.0","4.0","4.0","6.0","5.0"
"vila-nova-conceicao","1100000.0","72.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","4000000.0","235.0","2.0","4.0","3.0","3.0"
"vila-nova-conceicao","575000.0","37.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","1200000.0","95.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","3410000.0","157.0","2.0","3.0","4.0","3.0"
"vila-nova-conceicao","2050000.0","150.0","2.0","2.0","3.0","2.0"
"vila-nova-conceicao","1153000.0","73.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","2120000.0","145.0","1.0","4.0","3.0","2.0"
"vila-nova-conceicao","1800000.0","154.0","1.0","4.0","2.0","2.0"
"vila-nova-conceicao","1120000.0","71.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","2130000.0","156.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","1900000.0","156.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","2000000.0","200.0","1.0","4.0","2.0","2.0"
"vila-nova-conceicao","1153000.0","73.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1120000.0","71.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1370000.0","103.0","1.0","3.0","1.0","2.0"
"vila-nova-conceicao","1900000.0","143.0","3.0","4.0","3.0","3.0"
"vila-nova-conceicao","1550000.0","126.0","1.0","1.0","2.0","1.0"
"vila-nova-conceicao","1850000.0","153.0","1.0","3.0","2.0","2.0"
"vila-nova-conceicao","1508000.0","127.0","1.0","2.0","2.0","3.0"
"vila-nova-conceicao","1350000.0","128.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","550000.0","37.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","1550000.0","142.0","3.0","4.0","4.0","2.0"
"vila-nova-conceicao","1900000.0","143.0","3.0","4.0","4.0","3.0"
"vila-nova-conceicao","4490000.0","192.0","4.0","4.0","5.0","4.0"
"vila-nova-conceicao","1200000.0","98.0","1.0","3.0","2.0","1.0"
"vila-nova-conceicao","2000000.0","161.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","1600000.0","126.0","2.0","2.0","3.0","3.0"
"vila-nova-conceicao","1500000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1400000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","660000.0","73.0","1.0","2.0","1.0","1.0"
"vila-nova-conceicao","1500000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","980000.0","85.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","3650000.0","237.0","3.0","4.0","4.0","3.0"
"vila-nova-conceicao","1600000.0","170.0","4.0","4.0","5.0","2.0"
"vila-nova-conceicao","1850000.0","128.0","1.0","2.0","3.0","1.0"
"vila-nova-conceicao","4255000.0","245.0","3.0","3.0","4.0","4.0"
"vila-nova-conceicao","1880000.0","154.0","1.0","3.0","1.0","2.0"
"vila-nova-conceicao","480000.0","36.0","1.0","1.0","2.0","1.0"
"vila-nova-conceicao","1586000.0","134.0","1.0","2.0","2.0","3.0"
"vila-nova-conceicao","1800000.0","130.0","1.0","2.0","3.0","1.0"
"vila-nova-conceicao","1800000.0","130.0","1.0","2.0","3.0","1.0"
"vila-nova-conceicao","1300000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","4120000.0","237.0","3.0","4.0","3.0","4.0"
"vila-nova-conceicao","4120000.0","237.0","3.0","4.0","3.0","4.0"
"vila-nova-conceicao","4200000.0","225.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","1276000.0","110.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","4150000.0","245.0","3.0","3.0","5.0","4.0"
"vila-nova-conceicao","1250000.0","98.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","3300000.0","251.0","3.0","4.0","4.0","4.0"
"vila-nova-conceicao","2770000.0","161.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","1590000.0","145.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","2000000.0","116.0","1.0","1.0","1.0","2.0"
"vila-nova-conceicao","2200000.0","170.0","3.0","4.0","4.0","2.0"
"vila-nova-conceicao","980000.0","79.0","1.0","2.0","3.0","1.0"
"vila-nova-conceicao","1200000.0","94.0","1.0","3.0","2.0","1.0"
"vila-nova-conceicao","1059000.0","72.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","8000000.0","287.0","3.0","3.0","6.0","5.0"
"vila-nova-conceicao","1800000.0","156.0","3.0","3.0","5.0","2.0"
"vila-nova-conceicao","2980000.0","210.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","5000000.0","246.0","4.0","4.0","7.0","4.0"
"vila-nova-conceicao","1430000.0","78.0","1.0","1.0","2.0","2.0"
"vila-nova-conceicao","2980000.0","210.0","3.0","4.0","5.0","3.0"
"vila-nova-conceicao","7500000.0","293.0","2.0","4.0","3.0","5.0"
"vila-nova-conceicao","850000.0","62.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","1800000.0","168.0","1.0","2.0","3.0","2.0"
"vila-nova-conceicao","2900000.0","220.0","3.0","4.0","5.0","3.0"
"vila-nova-conceicao","1780000.0","168.0","1.0","2.0","1.0","2.0"
"vila-nova-conceicao","3200000.0","190.0","3.0","3.0","5.0","4.0"
"vila-nova-conceicao","2250000.0","170.0","3.0","3.0","5.0","2.0"
"vila-nova-conceicao","3200000.0","230.0","1.0","3.0","3.0","3.0"
"vila-nova-conceicao","1915000.0","160.0","1.0","4.0","2.0","2.0"
"vila-nova-conceicao","1550000.0","142.0","3.0","3.0","5.0","2.0"
"vila-nova-conceicao","950000.0","48.0","1.0","1.0","2.0","1.0"
"vila-nova-conceicao","3650000.0","192.0","4.0","4.0","6.0","4.0"
"vila-nova-conceicao","3730000.0","237.0","2.0","4.0","3.0","3.0"
"vila-nova-conceicao","1380000.0","120.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1650000.0","78.0","1.0","2.0","1.0","2.0"
"vila-nova-conceicao","3700000.0","210.0","2.0","2.0","5.0","3.0"
"vila-nova-conceicao","3000000.0","157.0","2.0","4.0","3.0","3.0"
"vila-nova-conceicao","1850000.0","158.0","3.0","4.0","3.0","3.0"
"vila-nova-conceicao","1100000.0","105.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","3270000.0","157.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","4900000.0","141.0","3.0","3.0","4.0","2.0"
"vila-nova-conceicao","765000.0","77.0","2.0","2.0","3.0","1.0"
"vila-nova-conceicao","1259020.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1400000.0","167.0","3.0","4.0","4.0","2.0"
