Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000g1ma,7,"Sunday, April  7, 2013 09:33:28 UTC",-3.5347,138.5280,4.6,81.10,62,"Papua, Indonesia"
nc,71967600,2,"Sunday, April  7, 2013 09:23:43 UTC",41.1777,-123.5195,2.2,14.20,15,"Northern California"
ci,11281074,0,"Sunday, April  7, 2013 08:58:11 UTC",33.7990,-116.0900,1.8,4.50,74,"Southern California"
uw,60515422,3,"Sunday, April  7, 2013 08:57:07 UTC",47.3385,-122.7795,3.5,28.40,146,"Puget Sound region, Washington"
nc,71967590,0,"Sunday, April  7, 2013 08:49:23 UTC",38.8315,-122.8060,1.0,2.40,20,"Northern California"
us,b000g1lt,8,"Sunday, April  7, 2013 08:40:37 UTC",-7.9861,-79.5930,4.6,64.30,54,"near the coast of northern Peru"
nn,00408645,1,"Sunday, April  7, 2013 08:37:55 UTC",38.7321,-119.6096,1.1,7.80, 9,"Nevada"
ak,10689270,1,"Sunday, April  7, 2013 08:32:00 UTC",63.9363,-148.9679,1.6,0.50,22,"Central Alaska"
nc,71967580,2,"Sunday, April  7, 2013 08:16:33 UTC",38.8163,-123.6233,2.1,0.60,21,"offshore Northern California"
ak,10689263,1,"Sunday, April  7, 2013 07:52:38 UTC",66.2237,-148.8625,2.1,0.00,11,"northern Alaska"
ak,10689264,2,"Sunday, April  7, 2013 07:51:55 UTC",66.2423,-148.9080,1.8,10.30,13,"northern Alaska"
hv,60486936,1,"Sunday, April  7, 2013 07:44:49 UTC",20.0060,-155.4875,2.6,13.30,36,"Hawaii region, Hawaii"
nc,71967575,1,"Sunday, April  7, 2013 07:43:11 UTC",36.1565,-120.1727,2.5,8.40,30,"Central California"
ci,11281050,0,"Sunday, April  7, 2013 07:14:58 UTC",33.8057,-116.0915,1.4,7.30,47,"Southern California"
ak,10689254,1,"Sunday, April  7, 2013 07:14:03 UTC",60.5424,-151.9095,2.1,106.80,27,"Kenai Peninsula, Alaska"
ci,11281042,0,"Sunday, April  7, 2013 07:12:30 UTC",33.7952,-116.0908,1.6,4.40,71,"Southern California"
ci,11281034,0,"Sunday, April  7, 2013 07:08:00 UTC",33.8015,-116.0933,1.6,2.40,53,"Southern California"
ak,10689244,1,"Sunday, April  7, 2013 06:43:18 UTC",63.5582,-149.3322,1.5,68.60,10,"Central Alaska"
